project,year_month,pr_number,author,author_type,bot_method,created_at,closed_at,cycle_days,comments,title
vLLM,2025-11,29293,dependabot[bot],Bot,account_type,2025-11-24T04:15:15Z,2025-11-26T01:57:08Z,1.904085648148148,1,Bump actions/checkout from 4 to 6
vLLM,2025-11,28966,Copilot,Bot,account_type,2025-11-18T22:45:08Z,2025-11-19T18:32:19Z,0.8244328703703704,9,Re-enable FlashInfer for Llama4 on Blackwell in e2e fusion tests
vLLM,2025-11,28074,Copilot,Bot,account_type,2025-11-04T22:40:36Z,2025-11-07T07:58:17Z,2.3872800925925928,5,[CI] Reduce Blackwell Fusion test runtime by filtering tests and only run all tests in nightly
vLLM,2025-12,30234,dependabot[bot],Bot,account_type,2025-12-08T04:39:10Z,2025-12-09T20:12:14Z,1.647962962962963,0,Bump actions/stale from 10.1.0 to 10.1.1
vLLM,2025-12,30233,dependabot[bot],Bot,account_type,2025-12-08T04:39:06Z,2025-12-09T20:03:16Z,1.6417824074074074,0,Bump actions/checkout from 6.0.0 to 6.0.1
vLLM,2025-12,29768,dependabot[bot],Bot,account_type,2025-12-01T04:28:54Z,2025-12-02T21:29:33Z,1.7087847222222223,1,Bump actions/setup-python from 6.0.0 to 6.1.0
vLLM,2025-12,29025,Copilot,Bot,account_type,2025-11-19T18:38:52Z,2025-12-02T20:40:56Z,13.08476851851852,16,"Fix boolean nested params, add dict format support, and enhance plotting for vllm bench sweep"
vLLM,2026-03,36552,Copilot,Bot,account_type,2026-03-09T22:08:31Z,2026-03-09T22:51:03Z,0.02953703703703704,0,Add non-contiguous input tests for rms_norm_per_block_quant and dynamic per-token quant kernels
vLLM,2026-03,36027,Copilot,Bot,account_type,2026-03-04T17:45:01Z,2026-03-09T18:04:41Z,5.013657407407408,6,[torch.compile] Rename `compile_ranges_split_points` to `compile_ranges_endpoints`
vLLM,2026-03,35538,Copilot,Bot,account_type,2026-02-27T19:04:35Z,2026-03-06T23:55:07Z,7.201759259259259,9,[docs][torch.compile] Add fusions.md — kernel/operator fusion reference page
vLLM,2026-06,39667,dependabot[bot],Bot,account_type,2026-04-13T04:40:11Z,2026-06-02T18:26:57Z,50.57414351851852,0,Bump actions/github-script from 8.0.0 to 9.0.0
vLLM,2026-06,35078,dependabot[bot],Bot,account_type,2026-02-23T04:28:15Z,2026-06-03T21:14:41Z,100.69891203703703,2,Bump actions/stale from 10.1.1 to 10.3.0
vLLM,2026-06,33057,dependabot[bot],Bot,account_type,2026-01-26T04:27:13Z,2026-06-30T12:16:21Z,155.32578703703703,4,Bump actions/checkout from 6.0.1 to 7.0.0
SGLang,2024-11,2182,dependabot[bot],Bot,account_type,2024-11-25T19:19:31Z,2024-11-25T19:22:34Z,0.0021180555555555558,0,Bump rustls from 0.23.16 to 0.23.18 in /rust
